0.0,0.0,1,8
0.0,0.0,5,1
0.0,0.0,10,3
0.0,0.0,50,0
0.0,0.0,100,0
0.0,0.0,500,0
0.0,0.0,1000,0
0.0,0.1,1,10
0.0,0.1,5,6
0.0,0.1,10,0
0.0,0.1,50,1
0.0,0.1,100,0
0.0,0.1,500,0
0.0,0.1,1000,0
0.0,0.2,1,9
0.0,0.2,5,7
0.0,0.2,10,3
0.0,0.2,50,0
0.0,0.2,100,0
0.0,0.2,500,0
0.0,0.2,1000,0
0.0,0.3,1,6
0.0,0.3,5,3
0.0,0.3,10,3
0.0,0.3,50,0
0.0,0.3,100,1
0.0,0.3,500,0
0.0,0.3,1000,0
0.0,0.4,1,7
0.0,0.4,5,5
0.0,0.4,10,2
0.0,0.4,50,0
0.0,0.4,100,0
0.0,0.4,500,0
0.0,0.4,1000,0
0.0,0.5,1,7
0.0,0.5,5,2
0.0,0.5,10,3
0.0,0.5,50,3
0.0,0.5,100,0
0.0,0.5,500,0
0.0,0.5,1000,0
0.0,0.6,1,10
0.0,0.6,5,3
0.0,0.6,10,4
0.0,0.6,50,2
0.0,0.6,100,0
0.0,0.6,500,0
0.0,0.6,1000,0
0.0,0.7,1,9
0.0,0.7,5,3
0.0,0.7,10,4
0.0,0.7,50,3
0.0,0.7,100,1
0.0,0.7,500,0
0.0,0.7,1000,0
0.0,0.8,1,9
0.0,0.8,5,5
0.0,0.8,10,3
0.0,0.8,50,0
0.0,0.8,100,0
0.0,0.8,500,0
0.0,0.8,1000,0
0.0,0.9,1,0
0.0,0.9,5,5
0.0,0.9,10,0
0.0,0.9,50,0
0.0,0.9,100,0
0.0,0.9,500,0
0.0,0.9,1000,0
0.0,1.0,1,6
0.0,1.0,5,4
0.0,1.0,10,1
0.0,1.0,50,0
0.0,1.0,100,0
0.0,1.0,500,0
0.0,1.0,1000,0
0.1,0.0,1,14
0.1,0.0,5,6
0.1,0.0,10,3
0.1,0.0,50,0
0.1,0.0,100,0
0.1,0.0,500,0
0.1,0.0,1000,0
0.1,0.1,1,4
0.1,0.1,5,4
0.1,0.1,10,5
0.1,0.1,50,0
0.1,0.1,100,0
0.1,0.1,500,0
0.1,0.1,1000,0
0.1,0.2,1,7
0.1,0.2,5,4
0.1,0.2,10,4
0.1,0.2,50,0
0.1,0.2,100,0
0.1,0.2,500,0
0.1,0.2,1000,0
0.1,0.3,1,7
0.1,0.3,5,6
0.1,0.3,10,3
0.1,0.3,50,1
0.1,0.3,100,0
0.1,0.3,500,0
0.1,0.3,1000,0
0.1,0.4,1,11
0.1,0.4,5,0
0.1,0.4,10,0
0.1,0.4,50,1
0.1,0.4,100,0
0.1,0.4,500,0
0.1,0.4,1000,0
0.1,0.5,1,11
0.1,0.5,5,6
0.1,0.5,10,3
0.1,0.5,50,0
0.1,0.5,100,0
0.1,0.5,500,0
0.1,0.5,1000,0
0.1,0.6,1,7
0.1,0.6,5,3
0.1,0.6,10,3
0.1,0.6,50,0
0.1,0.6,100,1
0.1,0.6,500,0
0.1,0.6,1000,0
0.1,0.7,1,10
0.1,0.7,5,4
0.1,0.7,10,0
0.1,0.7,50,2
0.1,0.7,100,0
0.1,0.7,500,0
0.1,0.7,1000,0
0.1,0.8,1,8
0.1,0.8,5,5
0.1,0.8,10,0
0.1,0.8,50,2
0.1,0.8,100,0
0.1,0.8,500,0
0.1,0.8,1000,0
0.1,0.9,1,8
0.1,0.9,5,3
0.1,0.9,10,4
0.1,0.9,50,1
0.1,0.9,100,1
0.1,0.9,500,0
0.1,0.9,1000,0
0.1,1.0,1,7
0.1,1.0,5,0
0.1,1.0,10,4
0.1,1.0,50,0
0.1,1.0,100,0
0.1,1.0,500,0
0.1,1.0,1000,0
0.2,0.0,1,8
0.2,0.0,5,6
0.2,0.0,10,4
0.2,0.0,50,0
0.2,0.0,100,1
0.2,0.0,500,0
0.2,0.0,1000,0
0.2,0.1,1,6
0.2,0.1,5,1
0.2,0.1,10,3
0.2,0.1,50,3
0.2,0.1,100,0
0.2,0.1,500,0
0.2,0.1,1000,0
0.2,0.2,1,13
0.2,0.2,5,5
0.2,0.2,10,1
0.2,0.2,50,2
0.2,0.2,100,0
